index,trial_index,id,price_displayed,key pressed,environment,order,round_instance,task,function_id,quality_check,builtin_rt,end_time,start_time,Participant Public ID,key_pressed,trial_label,latency
177642,3.0,668220.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,148.73500000021886,1554474856208.0,1554474856058.0,5a75c98cae9a0b0001a95926,39.0,3.0 11.0,154.0
177643,3.0,668220.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,168.56000000007043,1554474856381.0,1554474856212.0,5a75c98cae9a0b0001a95926,39.0,3.0 11.0,172.0
177644,3.0,668220.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,150.41500000006639,1554474856535.0,1554474856384.0,5a75c98cae9a0b0001a95926,39.0,3.0 11.0,154.0
177645,3.0,668220.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,179.21500000011292,1554474856717.0,1554474856538.0,5a75c98cae9a0b0001a95926,39.0,3.0 11.0,182.0
177646,3.0,668220.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,169.54000000032102,1554474856890.0,1554474856720.0,5a75c98cae9a0b0001a95926,39.0,3.0 11.0,175.0
177647,3.0,668220.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,155.95999999959895,1554474857052.0,1554474856895.0,5a75c98cae9a0b0001a95926,39.0,3.0 11.0,160.0
177648,3.0,668220.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,169.17999999986202,1554474857225.0,1554474857055.0,5a75c98cae9a0b0001a95926,39.0,3.0 11.0,182.0
177964,7.0,668220.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,173.64999999971766,1554474908247.0,1554474908073.0,5a75c98cae9a0b0001a95926,39.0,7.0 11.0,178.0
177965,7.0,668220.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,166.5600000001141,1554474908418.0,1554474908251.0,5a75c98cae9a0b0001a95926,39.0,7.0 11.0,171.0
177966,7.0,668220.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,177.20000000008443,1554474908600.0,1554474908422.0,5a75c98cae9a0b0001a95926,39.0,7.0 11.0,182.0
177967,7.0,668220.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,180.6599999999889,1554474908785.0,1554474908604.0,5a75c98cae9a0b0001a95926,39.0,7.0 11.0,184.0
177968,7.0,668220.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,168.15499999983876,1554474908957.0,1554474908788.0,5a75c98cae9a0b0001a95926,39.0,7.0 11.0,174.0
177969,7.0,668220.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,178.1350000001112,1554474909141.0,1554474908962.0,5a75c98cae9a0b0001a95926,39.0,7.0 11.0,183.0
177970,7.0,668220.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,173.00500000010655,1554474909319.0,1554474909145.0,5a75c98cae9a0b0001a95926,39.0,7.0 11.0,187.0
178279,11.0,668220.0,0.7,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,166.4150000001537,1554474959988.0,1554474959821.0,5a75c98cae9a0b0001a95926,39.0,11.0 11.0,172.0
178280,11.0,668220.0,0.7,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,158.17500000001746,1554474960152.0,1554474959993.0,5a75c98cae9a0b0001a95926,39.0,11.0 11.0,163.0
178281,11.0,668220.0,0.7,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,179.41000000017812,1554474960336.0,1554474960156.0,5a75c98cae9a0b0001a95926,39.0,11.0 11.0,186.0
178282,11.0,668220.0,0.7,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,166.1400000002468,1554474960509.0,1554474960342.0,5a75c98cae9a0b0001a95926,39.0,11.0 11.0,171.0
178283,11.0,668220.0,0.7,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,169.5549999999348,1554474960684.0,1554474960513.0,5a75c98cae9a0b0001a95926,39.0,11.0 11.0,175.0
178284,11.0,668220.0,0.7,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,158.39499999993131,1554474960847.0,1554474960688.0,5a75c98cae9a0b0001a95926,39.0,11.0 11.0,334.0
178685,4.0,668220.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,166.16000000020722,1554475043471.0,1554475043304.0,5a75c98cae9a0b0001a95926,39.0,4.0 21.0,170.0
178686,4.0,668220.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,158.42000000021653,1554475043633.0,1554475043474.0,5a75c98cae9a0b0001a95926,39.0,4.0 21.0,162.0
178687,4.0,668220.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,169.74500000016997,1554475043807.0,1554475043636.0,5a75c98cae9a0b0001a95926,39.0,4.0 21.0,174.0
178688,4.0,668220.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,180.47999999998137,1554475043991.0,1554475043810.0,5a75c98cae9a0b0001a95926,39.0,4.0 21.0,184.0
178689,4.0,668220.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,173.5950000002049,1554475044168.0,1554475043994.0,5a75c98cae9a0b0001a95926,39.0,4.0 21.0,178.0
178690,4.0,668220.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,189.35499999998137,1554475044362.0,1554475044172.0,5a75c98cae9a0b0001a95926,39.0,4.0 21.0,350.0
