Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4
1,1554474521190,05/04/2019 14:28:41,1554474518855,-4,05/04/2019 10:28:38,6138,39,task-cukw,,2417039,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
2,1554474553247,05/04/2019 14:29:13,1554474550844,-4,05/04/2019 10:29:10,6138,39,task-cukw,,2417039,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
3,1554474561709,05/04/2019 14:29:21,1554474559430,-4,05/04/2019 10:29:19,6138,39,task-cukw,,2417039,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
1,1554474572802,05/04/2019 14:29:32,1554474572104,1,05/04/2019 15:29:32,6138,39,task-cukw,,2417049,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1280x881,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
2,1554474585933,05/04/2019 14:29:45,1554474585383,1,05/04/2019 15:29:45,6138,39,task-cukw,,2417049,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1280x881,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
3,1554474593126,05/04/2019 14:29:53,1554474592191,1,05/04/2019 15:29:52,6138,39,task-cukw,,2417049,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1280x881,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
1,1554474949252,05/04/2019 14:35:49,1554474951436,-4,05/04/2019 10:35:51,6138,39,task-cukw,,2417093,5a2164f01a1ad3000138f7f9,668237,,complete,,5ca7671a716aef0017078fac,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x625,after questionnairs,Pre Max Tapping Instruction,6,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
2,1554474969030,05/04/2019 14:36:09,1554474971275,-4,05/04/2019 10:36:11,6138,39,task-cukw,,2417093,5a2164f01a1ad3000138f7f9,668237,,complete,,5ca7671a716aef0017078fac,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x625,after questionnairs,Pre Max Tapping Instruction,6,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
3,1554474983419,05/04/2019 14:36:23,1554474985601,-4,05/04/2019 10:36:25,6138,39,task-cukw,,2417093,5a2164f01a1ad3000138f7f9,668237,,complete,,5ca7671a716aef0017078fac,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x625,after questionnairs,Pre Max Tapping Instruction,6,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
1,1554474964042,05/04/2019 14:36:04,1554474964877,-4,05/04/2019 10:36:04,6138,39,task-cukw,,2417095,5af6a7cde066a40001134a37,668239,,complete,,5ca7674e64dec700160dae51,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,Pre Max Tapping Instruction,6,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
