Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,reaction time,stimulus,button pressed
1,1554474499634,05/04/2019 14:28:19,1554474497319,-4,05/04/2019 10:28:17,6138,39,task-jgum,,2417033,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,8701.395000000048,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1554474504735,05/04/2019 14:28:24,1554474502481,-4,05/04/2019 10:28:22,6138,39,task-jgum,,2417033,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,5152.379999999994,/task/29849/3/asset/Dog.mp3,1
3,1554474510187,05/04/2019 14:28:30,1554474507832,-4,05/04/2019 10:28:27,6138,39,task-jgum,,2417033,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,5345.064999999977,/task/29849/3/asset/Owl.mp3,0
4,1554474513233,05/04/2019 14:28:33,1554474510964,-4,05/04/2019 10:28:30,6138,39,task-jgum,,2417033,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3126.3049999997747,/task/29849/3/asset/Goat.mp3,0
1,1554474560756,05/04/2019 14:29:20,1554474560146,1,05/04/2019 15:29:20,6138,39,task-jgum,,2417047,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1280x881,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,6228.604999836534,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1554474564968,05/04/2019 14:29:24,1554474564474,1,05/04/2019 15:29:24,6138,39,task-jgum,,2417047,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1280x881,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,4326.415000017732,/task/29849/3/asset/Dog.mp3,1
3,1554474567224,05/04/2019 14:29:27,1554474566056,1,05/04/2019 15:29:26,6138,39,task-jgum,,2417047,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1280x881,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,1579.7349999193102,/task/29849/3/asset/Owl.mp3,0
4,1554474568555,05/04/2019 14:29:28,1554474568080,1,05/04/2019 15:29:28,6138,39,task-jgum,,2417047,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1280x881,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2021.7900001443923,/task/29849/3/asset/Goat.mp3,0
1,1554474926906,05/04/2019 14:35:26,1554474929087,-4,05/04/2019 10:35:29,6138,39,task-jgum,,2417087,5a2164f01a1ad3000138f7f9,668237,,complete,,5ca7671a716aef0017078fac,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,10831.729999976233,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1554474933320,05/04/2019 14:35:33,1554474935526,-4,05/04/2019 10:35:35,6138,39,task-jgum,,2417087,5a2164f01a1ad3000138f7f9,668237,,complete,,5ca7671a716aef0017078fac,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,6431.7750000045635,/task/29849/3/asset/Dog.mp3,1
3,1554474937284,05/04/2019 14:35:37,1554474939520,-4,05/04/2019 10:35:39,6138,39,task-jgum,,2417087,5a2164f01a1ad3000138f7f9,668237,,complete,,5ca7671a716aef0017078fac,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,3983.7549999938346,/task/29849/3/asset/Owl.mp3,0
4,1554474939817,05/04/2019 14:35:39,1554474942049,-4,05/04/2019 10:35:42,6138,39,task-jgum,,2417087,5a2164f01a1ad3000138f7f9,668237,,complete,,5ca7671a716aef0017078fac,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2521.424999984447,/task/29849/3/asset/Goat.mp3,0
