Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,choice made,reaction time
1,1554475656324,05/04/2019 14:47:36,1554475655750,1,05/04/2019 15:47:35,6138,39,task-w8es,,2417229,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1280x881,after questionnairs,HADS,4,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""From time to time, occasionally"",""Q1"":""Sometimes"",""Q2"":""Not quite so much"",""Q3"":""Occasionally"",""Q4"":""A little, but it doesn't worry me"",""Q5"":""I don't take as much care as I should"",""Q6"":""As much as I always could"",""Q7"":""Not very much"",""Q8"":""From time to time, but not too often"",""Q9"":""Rather less than I used to"",""Q10"":""Most of the time"",""Q11"":""Not at all"",""Q12"":""Not very often"",""Q13"":""Usually"",""Q14"":""Often""}",67737.59500007145
1,1554475724480,05/04/2019 14:48:44,1554475721819,-4,05/04/2019 10:48:41,6138,39,task-w8es,,2417243,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,HADS,4,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Not at all"",""Q1"":""Not at all"",""Q2"":""Definitely as much"",""Q3"":""Not at all"",""Q4"":""Not at all"",""Q5"":""I take just as much care as ever"",""Q6"":""As much as I always could"",""Q7"":""Not at all"",""Q8"":""Only occasionally"",""Q9"":""As much as I ever did"",""Q10"":""Most of the time"",""Q11"":""Not at all"",""Q12"":""Not at all"",""Q13"":""Definitely"",""Q14"":""Often""}",62976.27499999999
1,1554476205035,05/04/2019 14:56:45,1554476207211,-4,05/04/2019 10:56:47,6138,39,task-w8es,,2417290,5a2164f01a1ad3000138f7f9,668237,,complete,,5ca7671a716aef0017078fac,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x625,after questionnairs,HADS,4,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""From time to time, occasionally"",""Q1"":""Not at all"",""Q2"":""Definitely as much"",""Q3"":""Occasionally"",""Q4"":""Yes, but not too badly"",""Q5"":""I take just as much care as ever"",""Q6"":""As much as I always could"",""Q7"":""Not very much"",""Q8"":""A lot of the time"",""Q9"":""As much as I ever did"",""Q10"":""Most of the time"",""Q11"":""Not at all"",""Q12"":""Not very often"",""Q13"":""Usually"",""Q14"":""Often""}",73535.90000001714
1,1554476177221,05/04/2019 14:56:17,1554476178068,-4,05/04/2019 10:56:18,6138,39,task-w8es,,2417291,5af6a7cde066a40001134a37,668239,,complete,,5ca7674e64dec700160dae51,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,HADS,4,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""From time to time, occasionally"",""Q1"":""Very often"",""Q2"":""Only a little"",""Q3"":""Quite Often"",""Q4"":""Yes, but not too badly"",""Q5"":""I don't take as much care as I should"",""Q6"":""Not quite so much now"",""Q7"":""Not at all"",""Q8"":""A great deal of the time"",""Q9"":""Hardly at all"",""Q10"":""Not at all"",""Q11"":""Not at all"",""Q12"":""Quite often"",""Q13"":""Not Often"",""Q14"":""Often""}",47889.799999997194
1,1554476376279,05/04/2019 14:59:36,1554476375701,1,05/04/2019 15:59:35,6138,39,task-w8es,,2417305,5c235c04a74d6400016e4179,668249,,complete,,5ca768470aa7300001f4ecb2,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x1009,after questionnairs,HADS,4,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Not at all"",""Q1"":""Not at all"",""Q2"":""Definitely as much"",""Q3"":""Quite Often"",""Q4"":""Not at all"",""Q5"":""Definitely"",""Q6"":""Not quite so much now"",""Q7"":""Not very much"",""Q8"":""A great deal of the time"",""Q9"":""Definitely less than I used to"",""Q10"":""Not often"",""Q11"":""Not at all"",""Q12"":""Quite often"",""Q13"":""Usually"",""Q14"":""Often""}",43704.31000000007
1,1554476436117,05/04/2019 15:00:36,1554476425587,1,05/04/2019 16:00:25,6138,39,task-w8es,,2417306,5978142b21bc3d0001a1d2b6,668245,,complete,,5ca76813253fd60001d258f7,computer,Desktop or Laptop,Chromium OS 11647.104.0,Chrome 73.0.3683.88,1366x768,1366x641,after questionnairs,HADS,4,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""From time to time, occasionally"",""Q1"":""Sometimes"",""Q2"":""Not quite so much"",""Q3"":""Occasionally"",""Q4"":""A little, but it doesn't worry me"",""Q5"":""I don't take as much care as I should"",""Q6"":""Not quite so much now"",""Q7"":""Not very much"",""Q8"":""From time to time, but not too often"",""Q9"":""As much as I ever did"",""Q10"":""Most of the time"",""Q11"":""Not at all"",""Q12"":""Not very often"",""Q13"":""Definitely"",""Q14"":""Sometimes""}",85188.54499999997
2,1554476508200,05/04/2019 15:01:48,1554476507753,1,05/04/2019 16:01:47,6138,39,task-w8es,,2417306,5978142b21bc3d0001a1d2b6,668245,,complete,,5ca76813253fd60001d258f7,computer,Desktop or Laptop,Chromium OS 11647.104.0,Chrome 73.0.3683.88,1366x768,1366x641,after questionnairs,HADS,4,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""From time to time, occasionally"",""Q1"":""Sometimes"",""Q2"":""Definitely as much"",""Q3"":""Occasionally"",""Q4"":""A little, but it doesn't worry me"",""Q5"":""I don't take as much care as I should"",""Q6"":""As much as I always could"",""Q7"":""Not very much"",""Q8"":""From time to time, but not too often"",""Q9"":""As much as I ever did"",""Q10"":""Most of the time"",""Q11"":""Not at all"",""Q12"":""Not very often"",""Q13"":""Definitely"",""Q14"":""Sometimes""}",64414.745000000046
1,1554476416575,05/04/2019 15:00:16,1554476417286,-5,05/04/2019 10:00:17,6138,39,task-w8es,,2417309,5be607e617a93400011b2b6a,668254,,complete,,5ca768b39d7912000165f886,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,HADS,4,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""From time to time, occasionally"",""Q1"":""Sometimes"",""Q2"":""Not quite so much"",""Q3"":""Occasionally"",""Q4"":""Not at all"",""Q5"":""I take just as much care as ever"",""Q6"":""Not quite so much now"",""Q7"":""Quite a lot"",""Q8"":""From time to time, but not too often"",""Q9"":""Rather less than I used to"",""Q10"":""Sometimes"",""Q11"":""Not at all"",""Q12"":""Not at all"",""Q13"":""Usually"",""Q14"":""Sometimes""}",52951.3099999167
1,1554476423792,05/04/2019 15:00:23,1554476423480,1,05/04/2019 16:00:23,6138,39,task-w8es,,2417311,5a7a0d8df49c9a0001f31b73,668246,,complete,,5ca7682ac9c35900172800b9,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.121,1920x1080,1920x1009,after questionnairs,HADS,4,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Most of the time"",""Q1"":""Very often"",""Q2"":""Definitely as much"",""Q3"":""Occasionally"",""Q4"":""Very definitely and quite badly"",""Q5"":""I don't take as much care as I should"",""Q6"":""As much as I always could"",""Q7"":""Quite a lot"",""Q8"":""A great deal of the time"",""Q9"":""Hardly at all"",""Q10"":""Not often"",""Q11"":""Not at all"",""Q12"":""Very often indeed"",""Q13"":""Not Often"",""Q14"":""Very seldom""}",50441.91999998293
1,1554476606897,05/04/2019 15:03:26,1554476607067,1,05/04/2019 16:03:27,6138,39,task-w8es,,2417328,59220a3e9098900001b55aaa,668240,,complete,,5ca767d2685e370001b6fb08,computer,Desktop or Laptop,Windows 10,Firefox 66.0,1920x1080,1920x916,after questionnairs,HADS,4,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""From time to time, occasionally"",""Q1"":""Sometimes"",""Q2"":""Not quite so much"",""Q3"":""Occasionally"",""Q4"":""Not at all"",""Q5"":""I don't take as much care as I should"",""Q6"":""Not quite so much now"",""Q7"":""Not very much"",""Q8"":""A lot of the time"",""Q9"":""Definitely less than I used to"",""Q10"":""Sometimes"",""Q11"":""Not at all"",""Q12"":""Not very often"",""Q13"":""Usually"",""Q14"":""Often""}",76431
