Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5,Question Key,Response
1,1562772610498,10/07/2019 15:30:10,1562772610515,2,10/07/2019 17:30:10,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562772667646,10/07/2019 15:31:07,1562772667689,2,10/07/2019 17:31:07,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-1,1
3,1562772667773,10/07/2019 15:31:07,1562772667694,2,10/07/2019 17:31:07,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-2,1
4,1562772667773,10/07/2019 15:31:07,1562772667695,2,10/07/2019 17:31:07,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-3,1
5,1562772667773,10/07/2019 15:31:07,1562772667695,2,10/07/2019 17:31:07,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-4,1
6,1562772667773,10/07/2019 15:31:07,1562772667696,2,10/07/2019 17:31:07,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-5,1
7,1562772667773,10/07/2019 15:31:07,1562772667696,2,10/07/2019 17:31:07,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-6,1
8,1562772667773,10/07/2019 15:31:07,1562772667697,2,10/07/2019 17:31:07,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-7,1
9,1562772667773,10/07/2019 15:31:07,1562772667698,2,10/07/2019 17:31:07,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-8,1
10,1562772667773,10/07/2019 15:31:07,1562772667699,2,10/07/2019 17:31:07,8835,5,questionnaire-pwdh,,2794928,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1349x663,after questionnairs,Consent,7,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,consent-9,1
