Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5,Question Key,Response
1,1562774325770,10/07/2019 15:58:45,1562774325779,2,10/07/2019 17:58:45,8835,5,questionnaire-s6wr,,2795184,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562774330118,10/07/2019 15:58:50,1562774330160,2,10/07/2019 17:58:50,8835,5,questionnaire-s6wr,,2795184,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,
3,1562774330228,10/07/2019 15:58:50,1562774330166,2,10/07/2019 17:58:50,8835,5,questionnaire-s6wr,,2795184,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,4387
1,1562776125362,10/07/2019 16:28:45,1562776125310,1,10/07/2019 17:28:45,8835,5,questionnaire-s6wr,,2795606,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562776127364,10/07/2019 16:28:47,1562776127372,1,10/07/2019 17:28:47,8835,5,questionnaire-s6wr,,2795606,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,
3,1562776127442,10/07/2019 16:28:47,1562776127375,1,10/07/2019 17:28:47,8835,5,questionnaire-s6wr,,2795606,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,2066
1,1562778692728,10/07/2019 17:11:32,1562778693406,1,10/07/2019 18:11:33,8835,5,questionnaire-s6wr,,2796427,54762f9efdf99b05557e04be,774153,,complete,,5d2616a3c4d71e00190d081c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562778706150,10/07/2019 17:11:46,1562778706845,1,10/07/2019 18:11:46,8835,5,questionnaire-s6wr,,2796427,54762f9efdf99b05557e04be,774153,,complete,,5d2616a3c4d71e00190d081c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,find a cure for RSI!!!
3,1562778706244,10/07/2019 17:11:46,1562778706846,1,10/07/2019 18:11:46,8835,5,questionnaire-s6wr,,2796427,54762f9efdf99b05557e04be,774153,,complete,,5d2616a3c4d71e00190d081c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,13440
1,1562779471920,10/07/2019 17:24:31,1562779471721,2,10/07/2019 19:24:31,8835,5,questionnaire-s6wr,,2796492,5b5ca33f295c4b0001c294d0,774133,,complete,,5d2615f53f78ec001ba0777f,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562779476776,10/07/2019 17:24:36,1562779476624,2,10/07/2019 19:24:36,8835,5,questionnaire-s6wr,,2796492,5b5ca33f295c4b0001c294d0,774133,,complete,,5d2615f53f78ec001ba0777f,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,
3,1562779476885,10/07/2019 17:24:36,1562779476626,2,10/07/2019 19:24:36,8835,5,questionnaire-s6wr,,2796492,5b5ca33f295c4b0001c294d0,774133,,complete,,5d2615f53f78ec001ba0777f,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,4906
1,1562779785216,10/07/2019 17:29:45,1562779782603,3,10/07/2019 20:29:42,8835,5,questionnaire-s6wr,,2796509,5c9d4168368fa2001578c7a6,774164,,complete,,5d2615a6992db9000189c552,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562779791154,10/07/2019 17:29:51,1562779788570,3,10/07/2019 20:29:48,8835,5,questionnaire-s6wr,,2796509,5c9d4168368fa2001578c7a6,774164,,complete,,5d2615a6992db9000189c552,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,
3,1562779791263,10/07/2019 17:29:51,1562779788572,3,10/07/2019 20:29:48,8835,5,questionnaire-s6wr,,2796509,5c9d4168368fa2001578c7a6,774164,,complete,,5d2615a6992db9000189c552,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,5970
1,1562783420505,10/07/2019 18:30:20,1562783419408,1,10/07/2019 19:30:19,8835,5,questionnaire-s6wr,,2796751,5d1770db8992b3000156d222,774222,,complete,,5d2624d98352f000013bc296,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1920x1200,1920x1057,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562783437279,10/07/2019 18:30:37,1562783436267,1,10/07/2019 19:30:36,8835,5,questionnaire-s6wr,,2796751,5d1770db8992b3000156d222,774222,,complete,,5d2624d98352f000013bc296,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1920x1200,1920x1057,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,Very interesting!
3,1562783437389,10/07/2019 18:30:37,1562783436269,1,10/07/2019 19:30:36,8835,5,questionnaire-s6wr,,2796751,5d1770db8992b3000156d222,774222,,complete,,5d2624d98352f000013bc296,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1920x1200,1920x1057,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,16861
1,1562783938623,10/07/2019 18:38:58,1562783938475,1,10/07/2019 19:38:58,8835,5,questionnaire-s6wr,,2796792,5a95887035237b0001125dfe,774240,,complete,,5d262977b28f470017f02277,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,2560x1440,2560x1298,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562783951910,10/07/2019 18:39:11,1562783951824,1,10/07/2019 19:39:11,8835,5,questionnaire-s6wr,,2796792,5a95887035237b0001125dfe,774240,,complete,,5d262977b28f470017f02277,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,2560x1440,2560x1298,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,
3,1562783952004,10/07/2019 18:39:12,1562783951825,1,10/07/2019 19:39:11,8835,5,questionnaire-s6wr,,2796792,5a95887035237b0001125dfe,774240,,complete,,5d262977b28f470017f02277,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,2560x1440,2560x1298,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,13350
1,1562783996742,10/07/2019 18:39:56,1562783995846,-4,10/07/2019 14:39:55,8835,5,questionnaire-s6wr,,2796796,5c3cd0b4486a390001e86330,774245,,complete,,5d2629c0cba1f900011c5d51,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562784000164,10/07/2019 18:40:00,1562783999311,-4,10/07/2019 14:39:59,8835,5,questionnaire-s6wr,,2796796,5c3cd0b4486a390001e86330,774245,,complete,,5d2629c0cba1f900011c5d51,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,
3,1562784000305,10/07/2019 18:40:00,1562783999312,-4,10/07/2019 14:39:59,8835,5,questionnaire-s6wr,,2796796,5c3cd0b4486a390001e86330,774245,,complete,,5d2629c0cba1f900011c5d51,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,3466
1,1562784304650,10/07/2019 18:45:04,1562784277556,-6,10/07/2019 12:44:37,8835,5,questionnaire-s6wr,,2796816,5bd781291fd7c80001bb1fad,774256,,complete,,5d2629aeebd0a900169fcb6b,computer,Desktop or Laptop,Windows 8.1,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
