Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5,choice made,reaction time,result
1,1562772728912,10/07/2019 15:32:08,1562772728713,2,10/07/2019 17:32:08,8835,5,task-73dp,,2794936,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,AMI_Prescreen,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Neither true nor untrue"",""Q1"":""Mostly untrue"",""Q2"":""Neither true nor untrue"",""Q3"":""Quite true"",""Q4"":""Quite true"",""Q5"":""Neither true nor untrue""}",37265.90500003658,
2,1562772729021,10/07/2019 15:32:09,1562772728728,2,10/07/2019 17:32:08,8835,5,task-73dp,,2794936,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,AMI_Prescreen,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,,,
3,1562772766127,10/07/2019 15:32:46,1562772766177,2,10/07/2019 17:32:46,8835,5,task-73dp,,2794936,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,AMI_Prescreen,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Neither true nor untrue"",""Q1"":""Mostly untrue"",""Q2"":""Quite true"",""Q3"":""Mostly untrue"",""Q4"":""Neither true nor untrue"",""Q5"":""Neither true nor untrue"",""Q6"":""Mostly untrue""}",37421.86000011861,
4,1562772766299,10/07/2019 15:32:46,1562772766190,2,10/07/2019 17:32:46,8835,5,task-73dp,,2794936,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,AMI_Prescreen,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,,,
5,1562772790221,10/07/2019 15:33:10,1562772790283,2,10/07/2019 17:33:10,8835,5,task-73dp,,2794936,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,AMI_Prescreen,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Neither true nor untrue"",""Q1"":""Mostly untrue"",""Q2"":""Neither true nor untrue"",""Q3"":""Quite true"",""Q4"":""Quite true"",""Q5"":""Quite true""}",24075.494999997318,
6,1562772790346,10/07/2019 15:33:10,1562772790295,2,10/07/2019 17:33:10,8835,5,task-73dp,,2794936,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,AMI_Prescreen,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,,,1.9473684210526316
7,1562772790346,10/07/2019 15:33:10,1562772790296,2,10/07/2019 17:33:10,8835,5,task-73dp,,2794936,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,AMI_Prescreen,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,,,1.9473684210526316
8,1562772790346,10/07/2019 15:33:10,1562772790303,2,10/07/2019 17:33:10,8835,5,task-73dp,,2794936,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,AMI_Prescreen,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,,,1.9473684210526316
1,1562774627099,10/07/2019 16:03:47,1562774627050,1,10/07/2019 17:03:47,8835,5,task-73dp,,2795257,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,AMI_Prescreen,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Quite true"",""Q1"":""Mostly untrue"",""Q2"":""Mostly untrue"",""Q3"":""Quite true"",""Q4"":""Mostly untrue"",""Q5"":""Mostly untrue""}",24130.195000005187,
2,1562774627286,10/07/2019 16:03:47,1562774627068,1,10/07/2019 17:03:47,8835,5,task-73dp,,2795257,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,AMI_Prescreen,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,,,
3,1562774664105,10/07/2019 16:04:24,1562774664107,1,10/07/2019 17:04:24,8835,5,task-73dp,,2795257,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,AMI_Prescreen,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Neither true nor untrue"",""Q1"":""Neither true nor untrue"",""Q2"":""Mostly untrue"",""Q3"":""Mostly untrue"",""Q4"":""Neither true nor untrue"",""Q5"":""Neither true nor untrue"",""Q6"":""Mostly untrue""}",37026.05499999481,
