Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5,reaction time,key pressed,builtin rt,end_time,start_time,
1,1562772968290,10/07/2019 15:36:08,1562772968316,2,10/07/2019 17:36:08,8835,5,task-cz44,,2794976,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Post Max Tapping Instructions and Training,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,9082,32,9080.450000008568,1562772968314,1562772959232,
2,1562772984140,10/07/2019 15:36:24,1562772984222,2,10/07/2019 17:36:24,8835,5,task-cz44,,2794976,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Post Max Tapping Instructions and Training,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,15883,32,15882.170000113547,1562772984221,1562772968338,
3,1562772997046,10/07/2019 15:36:37,1562772997116,2,10/07/2019 17:36:37,8835,5,task-cz44,,2794976,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Post Max Tapping Instructions and Training,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,12889,32,12888.55000003241,1562772997116,1562772984227,
4,1562773005971,10/07/2019 15:36:45,1562773006020,2,10/07/2019 17:36:46,8835,5,task-cz44,,2794976,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Post Max Tapping Instructions and Training,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,8901,32,8900.710000190884,1562773006020,1562772997119,
5,1562773006080,10/07/2019 15:36:46,1562773006024,2,10/07/2019 17:36:46,8835,5,task-cz44,,2794976,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Post Max Tapping Instructions and Training,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,,,,,,
6,1562773016877,10/07/2019 15:36:56,1562773016961,2,10/07/2019 17:36:56,8835,5,task-cz44,,2794976,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Post Max Tapping Instructions and Training,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,10930.085000116378,32,,,,
7,1562773021869,10/07/2019 15:37:01,1562773021953,2,10/07/2019 17:37:01,8835,5,task-cz44,,2794976,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Post Max Tapping Instructions and Training,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,4988.300000084564,32,,,,
8,1562773027217,10/07/2019 15:37:07,1562773027305,2,10/07/2019 17:37:07,8835,5,task-cz44,,2794976,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Post Max Tapping Instructions and Training,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,5348.179999971762,32,,,,
9,1562773031056,10/07/2019 15:37:11,1562773031133,2,10/07/2019 17:37:11,8835,5,task-cz44,,2794976,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Post Max Tapping Instructions and Training,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,3824.849999975413,32,,,,
10,1562773031166,10/07/2019 15:37:11,1562773031137,2,10/07/2019 17:37:11,8835,5,task-cz44,,2794976,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Post Max Tapping Instructions and Training,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,,,,,,
