Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5
1,1562772835765,10/07/2019 15:33:55,1562772835382,2,10/07/2019 17:33:55,8835,5,task-fdef,,2794959,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
2,1562772863470,10/07/2019 15:34:23,1562772863374,2,10/07/2019 17:34:23,8835,5,task-fdef,,2794959,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
3,1562772873386,10/07/2019 15:34:33,1562772873307,2,10/07/2019 17:34:33,8835,5,task-fdef,,2794959,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
1,1562774717319,10/07/2019 16:05:17,1562774717259,1,10/07/2019 17:05:17,8835,5,task-fdef,,2795279,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
2,1562774730595,10/07/2019 16:05:30,1562774730577,1,10/07/2019 17:05:30,8835,5,task-fdef,,2795279,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
3,1562774738541,10/07/2019 16:05:38,1562774738548,1,10/07/2019 17:05:38,8835,5,task-fdef,,2795279,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
1,1562777385219,10/07/2019 16:49:45,1562777385867,1,10/07/2019 17:49:45,8835,5,task-fdef,,2796218,54762f9efdf99b05557e04be,774153,,complete,,5d2616a3c4d71e00190d081c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
2,1562777401860,10/07/2019 16:50:01,1562777402595,1,10/07/2019 17:50:02,8835,5,task-fdef,,2796218,54762f9efdf99b05557e04be,774153,,complete,,5d2616a3c4d71e00190d081c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
3,1562777410845,10/07/2019 16:50:10,1562777411482,1,10/07/2019 17:50:11,8835,5,task-fdef,,2796218,54762f9efdf99b05557e04be,774153,,complete,,5d2616a3c4d71e00190d081c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
1,1562777518788,10/07/2019 16:51:58,1562777518545,2,10/07/2019 18:51:58,8835,5,task-fdef,,2796286,5b5ca33f295c4b0001c294d0,774133,,complete,,5d2615f53f78ec001ba0777f,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
2,1562777541462,10/07/2019 16:52:21,1562777541236,2,10/07/2019 18:52:21,8835,5,task-fdef,,2796286,5b5ca33f295c4b0001c294d0,774133,,complete,,5d2615f53f78ec001ba0777f,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
3,1562777549492,10/07/2019 16:52:29,1562777549308,2,10/07/2019 18:52:29,8835,5,task-fdef,,2796286,5b5ca33f295c4b0001c294d0,774133,,complete,,5d2615f53f78ec001ba0777f,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
1,1562777835058,10/07/2019 16:57:15,1562777832443,3,10/07/2019 19:57:12,8835,5,task-fdef,,2796351,5c9d4168368fa2001578c7a6,774164,,complete,,5d2615a6992db9000189c552,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
2,1562777863964,10/07/2019 16:57:43,1562777861349,3,10/07/2019 19:57:41,8835,5,task-fdef,,2796351,5c9d4168368fa2001578c7a6,774164,,complete,,5d2615a6992db9000189c552,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
3,1562777877339,10/07/2019 16:57:57,1562777874736,3,10/07/2019 19:57:54,8835,5,task-fdef,,2796351,5c9d4168368fa2001578c7a6,774164,,complete,,5d2615a6992db9000189c552,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
1,1562781108217,10/07/2019 17:51:48,1562781107130,1,10/07/2019 18:51:47,8835,5,task-fdef,,2796565,5d1770db8992b3000156d222,774222,,complete,,5d2624d98352f000013bc296,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1920x1200,1920x1057,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
2,1562781117701,10/07/2019 17:51:57,1562781116658,1,10/07/2019 18:51:56,8835,5,task-fdef,,2796565,5d1770db8992b3000156d222,774222,,complete,,5d2624d98352f000013bc296,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1920x1200,1920x1057,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
3,1562781124093,10/07/2019 17:52:04,1562781123069,1,10/07/2019 18:52:03,8835,5,task-fdef,,2796565,5d1770db8992b3000156d222,774222,,complete,,5d2624d98352f000013bc296,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1920x1200,1920x1057,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
