Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5,reaction time,stimulus,button pressed
1,1562772803229,10/07/2019 15:33:23,1562772803025,2,10/07/2019 17:33:23,8835,5,task-jgum,,2794952,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,6514.325000112876,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562772811270,10/07/2019 15:33:31,1562772811161,2,10/07/2019 17:33:31,8835,5,task-jgum,,2794952,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,8084.01000010781,/task/29849/3/asset/Dog.mp3,1
3,1562772820530,10/07/2019 15:33:40,1562772820441,2,10/07/2019 17:33:40,8835,5,task-jgum,,2794952,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,9273.040000116453,/task/29849/3/asset/Owl.mp3,0
4,1562772825874,10/07/2019 15:33:45,1562772825944,2,10/07/2019 17:33:45,8835,5,task-jgum,,2794952,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,5497.01500008814,/task/29849/3/asset/Goat.mp3,0
1,1562774700329,10/07/2019 16:05:00,1562774700272,1,10/07/2019 17:05:00,8835,5,task-jgum,,2795277,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,12213.944999995874,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562774707457,10/07/2019 16:05:07,1562774706345,1,10/07/2019 17:05:06,8835,5,task-jgum,,2795277,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,6049.375000002328,/task/29849/3/asset/Dog.mp3,1
3,1562774710144,10/07/2019 16:05:10,1562774709947,1,10/07/2019 17:05:09,8835,5,task-jgum,,2795277,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,3597.524999990128,/task/29849/3/asset/Owl.mp3,0
4,1562774712004,10/07/2019 16:05:12,1562774712017,1,10/07/2019 17:05:12,8835,5,task-jgum,,2795277,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2067.6950000051875,/task/29849/3/asset/Goat.mp3,0
1,1562777371767,10/07/2019 16:49:31,1562777372451,1,10/07/2019 17:49:32,8835,5,task-jgum,,2796204,54762f9efdf99b05557e04be,774153,,complete,,5d2616a3c4d71e00190d081c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,10589.414999936707,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562777376203,10/07/2019 16:49:36,1562777376900,1,10/07/2019 17:49:36,8835,5,task-jgum,,2796204,54762f9efdf99b05557e04be,774153,,complete,,5d2616a3c4d71e00190d081c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,4443.210000055842,/task/29849/3/asset/Dog.mp3,1
