Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,Question Key,Response
1,1562173900914,03/07/2019 17:11:40,1562173901402,1,03/07/2019 18:11:41,8449,8,questionnaire-s6wr,,2760173,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1562173905541,03/07/2019 17:11:45,1562173906091,1,03/07/2019 18:11:46,8449,8,questionnaire-s6wr,,2760173,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,feedback,
3,1562173905711,03/07/2019 17:11:45,1562173906095,1,03/07/2019 18:11:46,8449,8,questionnaire-s6wr,,2760173,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,4694
1,1562174224562,03/07/2019 17:17:04,1562174223110,1,03/07/2019 18:17:03,8449,8,questionnaire-s6wr,,2760214,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1562174232787,03/07/2019 17:17:12,1562174231394,1,03/07/2019 18:17:11,8449,8,questionnaire-s6wr,,2760214,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,feedback,no
3,1562174232865,03/07/2019 17:17:12,1562174231396,1,03/07/2019 18:17:11,8449,8,questionnaire-s6wr,,2760214,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,8286
1,1562174506113,03/07/2019 17:21:46,1562174506008,1,03/07/2019 18:21:46,8449,8,questionnaire-s6wr,,2760259,59efd1e377860e0001513786,765965,,complete,,5d1cdddc8923b4000136fa18,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 74.0.3729.169,1440x900,1152x657,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1562174507473,03/07/2019 17:21:47,1562174507411,1,03/07/2019 18:21:47,8449,8,questionnaire-s6wr,,2760259,59efd1e377860e0001513786,765965,,complete,,5d1cdddc8923b4000136fa18,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 74.0.3729.169,1440x900,1152x657,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,feedback,
3,1562174507659,03/07/2019 17:21:47,1562174507415,1,03/07/2019 18:21:47,8449,8,questionnaire-s6wr,,2760259,59efd1e377860e0001513786,765965,,complete,,5d1cdddc8923b4000136fa18,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 74.0.3729.169,1440x900,1152x657,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,1407
1,1562175148938,03/07/2019 17:32:28,1562175149104,1,03/07/2019 18:32:29,8449,8,questionnaire-s6wr,,2760367,5a384471e7bc8000010a8df2,765970,,complete,,5d1cdddb08499e0019b48c97,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1562175175395,03/07/2019 17:32:55,1562175175580,1,03/07/2019 18:32:55,8449,8,questionnaire-s6wr,,2760367,5a384471e7bc8000010a8df2,765970,,complete,,5d1cdddb08499e0019b48c97,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,feedback,NO IMPROVEMENTS NEEDED
3,1562175175521,03/07/2019 17:32:55,1562175175582,1,03/07/2019 18:32:55,8449,8,questionnaire-s6wr,,2760367,5a384471e7bc8000010a8df2,765970,,complete,,5d1cdddb08499e0019b48c97,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,26478
1,1562175176692,03/07/2019 17:32:56,1562175169765,1,03/07/2019 18:32:49,8449,8,questionnaire-s6wr,,2760375,57eee8f1e0964a00018a802d,765973,,complete,,5d1ce06808499e0001b489c4,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1562175213744,03/07/2019 17:33:33,1562175206843,1,03/07/2019 18:33:26,8449,8,questionnaire-s6wr,,2760375,57eee8f1e0964a00018a802d,765973,,complete,,5d1ce06808499e0001b489c4,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,feedback,Not sure. Odd study
3,1562175213823,03/07/2019 17:33:33,1562175206846,1,03/07/2019 18:33:26,8449,8,questionnaire-s6wr,,2760375,57eee8f1e0964a00018a802d,765973,,complete,,5d1ce06808499e0001b489c4,computer,Desktop or Laptop,Windows 7,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,37082
1,1562175180226,03/07/2019 17:33:00,1562175178678,1,03/07/2019 18:32:58,8449,8,questionnaire-s6wr,,2760377,5cab28d65642d20011cad10e,765983,,complete,,5d1ce17c9fab6a001c562a3a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x1080,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1562175193097,03/07/2019 17:33:13,1562175191620,1,03/07/2019 18:33:11,8449,8,questionnaire-s6wr,,2760377,5cab28d65642d20011cad10e,765983,,complete,,5d1ce17c9fab6a001c562a3a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x1080,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,feedback,"Nothing, although my arm is still tired!"
3,1562175193190,03/07/2019 17:33:13,1562175191621,1,03/07/2019 18:33:11,8449,8,questionnaire-s6wr,,2760377,5cab28d65642d20011cad10e,765983,,complete,,5d1ce17c9fab6a001c562a3a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x1080,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,12943
1,1562175483258,03/07/2019 17:38:03,1562175482240,1,03/07/2019 18:38:02,8449,8,questionnaire-s6wr,,2760436,5a0c438a728b1b0001ad9683,765978,,complete,,5d1ce0dd57b8ba00175c4d9f,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1562175487836,03/07/2019 17:38:07,1562175486841,1,03/07/2019 18:38:06,8449,8,questionnaire-s6wr,,2760436,5a0c438a728b1b0001ad9683,765978,,complete,,5d1ce0dd57b8ba00175c4d9f,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,feedback,
3,1562175487899,03/07/2019 17:38:07,1562175486845,1,03/07/2019 18:38:06,8449,8,questionnaire-s6wr,,2760436,5a0c438a728b1b0001ad9683,765978,,complete,,5d1ce0dd57b8ba00175c4d9f,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,4605
1,1562175605834,03/07/2019 17:40:05,1562175600492,1,03/07/2019 18:40:00,8449,8,questionnaire-s6wr,,2760483,597da07b2cce5b0001d0ecca,765987,,complete,,5d1ce24daf0ce7001bbb67bb,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1536x750,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1562175608631,03/07/2019 17:40:08,1562175603334,1,03/07/2019 18:40:03,8449,8,questionnaire-s6wr,,2760483,597da07b2cce5b0001d0ecca,765987,,complete,,5d1ce24daf0ce7001bbb67bb,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1536x750,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,feedback,
3,1562175608725,03/07/2019 17:40:08,1562175603336,1,03/07/2019 18:40:03,8449,8,questionnaire-s6wr,,2760483,597da07b2cce5b0001d0ecca,765987,,complete,,5d1ce24daf0ce7001bbb67bb,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1536x750,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,2844
1,1562175710229,03/07/2019 17:41:50,1562175705940,1,03/07/2019 18:41:45,8449,8,questionnaire-s6wr,,2760510,55d5c5d9db6a810011fa0658,765985,,complete,,5d1ce1be423416001515ac7a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1562175713229,03/07/2019 17:41:53,1562175708995,1,03/07/2019 18:41:48,8449,8,questionnaire-s6wr,,2760510,55d5c5d9db6a810011fa0658,765985,,complete,,5d1ce1be423416001515ac7a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,feedback,
3,1562175713307,03/07/2019 17:41:53,1562175708997,1,03/07/2019 18:41:48,8449,8,questionnaire-s6wr,,2760510,55d5c5d9db6a810011fa0658,765985,,complete,,5d1ce1be423416001515ac7a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,3057
1,1562175840473,03/07/2019 17:44:00,1562175840522,-7,03/07/2019 10:44:00,8449,8,questionnaire-s6wr,,2760533,56c2f65cc51218000c9786ff,765991,,complete,,5d1ce349b9b03c001798d4c6,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
