Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,Question Key,Response
1,1562172179668,03/07/2019 16:42:59,1562172180094,1,03/07/2019 17:43:00,8449,8,questionnaire-zk38,,2760030,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Demographics,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1562172197205,03/07/2019 16:43:17,1562172197568,1,03/07/2019 17:43:17,8449,8,questionnaire-zk38,,2760030,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Demographics,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,age-1,54
3,1562172197332,03/07/2019 16:43:17,1562172197574,1,03/07/2019 17:43:17,8449,8,questionnaire-zk38,,2760030,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Demographics,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,response-1,Post-secondary non-tertiary education
4,1562172197332,03/07/2019 16:43:17,1562172197574,1,03/07/2019 17:43:17,8449,8,questionnaire-zk38,,2760030,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Demographics,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,response-1-quantised,1
5,1562172197332,03/07/2019 16:43:17,1562172197575,1,03/07/2019 17:43:17,8449,8,questionnaire-zk38,,2760030,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Demographics,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,gender-1,Female
6,1562172197332,03/07/2019 16:43:17,1562172197575,1,03/07/2019 17:43:17,8449,8,questionnaire-zk38,,2760030,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Demographics,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,gender-1-quantised,1
7,1562172197332,03/07/2019 16:43:17,1562172197576,1,03/07/2019 17:43:17,8449,8,questionnaire-zk38,,2760030,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Demographics,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,handedness-1,Right-handed
8,1562172197332,03/07/2019 16:43:17,1562172197578,1,03/07/2019 17:43:17,8449,8,questionnaire-zk38,,2760030,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Demographics,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,handedness-1-quantised,1
9,1562172197332,03/07/2019 16:43:17,1562172197579,1,03/07/2019 17:43:17,8449,8,questionnaire-zk38,,2760030,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Demographics,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,confirmation-1-1,I do not have any psychiatric or neurological disorders
10,1562172197332,03/07/2019 16:43:17,1562172197579,1,03/07/2019 17:43:17,8449,8,questionnaire-zk38,,2760030,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Demographics,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,confirmation-1-2,I am not taking any medications for psychiatric disorders
11,1562172197332,03/07/2019 16:43:17,1562172197580,1,03/07/2019 17:43:17,8449,8,questionnaire-zk38,,2760030,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Demographics,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,17486
1,1562172848651,03/07/2019 16:54:08,1562172847169,1,03/07/2019 17:54:07,8449,8,questionnaire-zk38,,2760069,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,Demographics,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1562172880363,03/07/2019 16:54:40,1562172878920,1,03/07/2019 17:54:38,8449,8,questionnaire-zk38,,2760069,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,Demographics,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,age-1,55
3,1562172880457,03/07/2019 16:54:40,1562172878928,1,03/07/2019 17:54:38,8449,8,questionnaire-zk38,,2760069,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,Demographics,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,response-1,Post-secondary non-tertiary education
4,1562172880457,03/07/2019 16:54:40,1562172878929,1,03/07/2019 17:54:38,8449,8,questionnaire-zk38,,2760069,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,Demographics,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,response-1-quantised,1
5,1562172880457,03/07/2019 16:54:40,1562172878929,1,03/07/2019 17:54:38,8449,8,questionnaire-zk38,,2760069,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,Demographics,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,gender-1,Male
6,1562172880457,03/07/2019 16:54:40,1562172878929,1,03/07/2019 17:54:38,8449,8,questionnaire-zk38,,2760069,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,Demographics,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,gender-1-quantised,2
7,1562172880457,03/07/2019 16:54:40,1562172878929,1,03/07/2019 17:54:38,8449,8,questionnaire-zk38,,2760069,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,Demographics,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,handedness-1,Right-handed
