Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,reaction time,key pressed,builtin rt,end_time,start_time,
1,1562172390727,03/07/2019 16:46:30,1562172391075,1,03/07/2019 17:46:31,8449,8,task-cz44,,2760048,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,12077,32,12076.10500001465,1562172391070,1562172378993,
2,1562172402573,03/07/2019 16:46:42,1562172402960,1,03/07/2019 17:46:42,8449,8,task-cz44,,2760048,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,11836,32,11835.194999992382,1562172402958,1562172391122,
3,1562172410883,03/07/2019 16:46:50,1562172411260,1,03/07/2019 17:46:51,8449,8,task-cz44,,2760048,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,8285,32,8283.980000007432,1562172411259,1562172402974,
4,1562172422815,03/07/2019 16:47:02,1562172423210,1,03/07/2019 17:47:03,8449,8,task-cz44,,2760048,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,11943,32,11942.175000003772,1562172423209,1562172411266,
5,1562172422893,03/07/2019 16:47:02,1562172423219,1,03/07/2019 17:47:03,8449,8,task-cz44,,2760048,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,,,,,,
6,1562172427983,03/07/2019 16:47:07,1562172428370,1,03/07/2019 17:47:08,8449,8,task-cz44,,2760048,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,5135.334999999031,32,,,,
7,1562172437680,03/07/2019 16:47:17,1562172438089,1,03/07/2019 17:47:18,8449,8,task-cz44,,2760048,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,9708.075000002282,32,,,,
8,1562172442501,03/07/2019 16:47:22,1562172442989,1,03/07/2019 17:47:22,8449,8,task-cz44,,2760048,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,4895.220000005793,32,,,,
9,1562172447070,03/07/2019 16:47:27,1562172447470,1,03/07/2019 17:47:27,8449,8,task-cz44,,2760048,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,4472.115000011399,32,,,,
10,1562172447195,03/07/2019 16:47:27,1562172447476,1,03/07/2019 17:47:27,8449,8,task-cz44,,2760048,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,,,,,,
11,1562172450542,03/07/2019 16:47:30,1562172451050,1,03/07/2019 17:47:31,8449,8,task-cz44,,2760048,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3562.3750000086147,32,,,,
12,1562172456904,03/07/2019 16:47:36,1562172457309,1,03/07/2019 17:47:37,8449,8,task-cz44,,2760048,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,6251.384999981383,32,,,,
