Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4
1,1562172225972,03/07/2019 16:43:45,1562172226294,1,03/07/2019 17:43:46,8449,8,task-fdef,,2760035,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
2,1562172281000,03/07/2019 16:44:41,1562172281265,1,03/07/2019 17:44:41,8449,8,task-fdef,,2760035,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
3,1562172293750,03/07/2019 16:44:53,1562172294136,1,03/07/2019 17:44:54,8449,8,task-fdef,,2760035,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
1,1562172941453,03/07/2019 16:55:41,1562172939958,1,03/07/2019 17:55:39,8449,8,task-fdef,,2760074,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
2,1562172958293,03/07/2019 16:55:58,1562172956684,1,03/07/2019 17:55:56,8449,8,task-fdef,,2760074,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
3,1562172973541,03/07/2019 16:56:13,1562172968827,1,03/07/2019 17:56:08,8449,8,task-fdef,,2760074,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
1,1562173050843,03/07/2019 16:57:30,1562173050684,1,03/07/2019 17:57:30,8449,8,task-fdef,,2760082,59efd1e377860e0001513786,765965,,complete,,5d1cdddc8923b4000136fa18,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 74.0.3729.169,1440x900,1152x657,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
2,1562173063927,03/07/2019 16:57:43,1562173063825,1,03/07/2019 17:57:43,8449,8,task-fdef,,2760082,59efd1e377860e0001513786,765965,,complete,,5d1cdddc8923b4000136fa18,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 74.0.3729.169,1440x900,1152x657,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
3,1562173072393,03/07/2019 16:57:52,1562173072291,1,03/07/2019 17:57:52,8449,8,task-fdef,,2760082,59efd1e377860e0001513786,765965,,complete,,5d1cdddc8923b4000136fa18,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 74.0.3729.169,1440x900,1152x657,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
1,1562173509083,03/07/2019 17:05:09,1562173509273,1,03/07/2019 18:05:09,8449,8,task-fdef,,2760116,5a384471e7bc8000010a8df2,765970,,complete,,5d1cdddb08499e0019b48c97,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x969,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
