Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,reaction time,stimulus,button pressed
1,1562172207894,03/07/2019 16:43:27,1562172208225,1,03/07/2019 17:43:28,8449,8,task-jgum,,2760031,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,6163.694999995641,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562172211270,03/07/2019 16:43:31,1562172211751,1,03/07/2019 17:43:31,8449,8,task-jgum,,2760031,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3510.5949999997392,/task/29849/3/asset/Dog.mp3,1
3,1562172213723,03/07/2019 16:43:33,1562172214219,1,03/07/2019 17:43:34,8449,8,task-jgum,,2760031,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2458.710000006249,/task/29849/3/asset/Owl.mp3,0
4,1562172216398,03/07/2019 16:43:36,1562172216799,1,03/07/2019 17:43:36,8449,8,task-jgum,,2760031,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2573.080000001937,/task/29849/3/asset/Goat.mp3,0
1,1562172892587,03/07/2019 16:54:52,1562172890965,1,03/07/2019 17:54:50,8449,8,task-jgum,,2760072,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,7890.999999828637,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562172897244,03/07/2019 16:54:57,1562172895802,1,03/07/2019 17:54:55,8449,8,task-jgum,,2760072,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,4811.000000219792,/task/29849/3/asset/Dog.mp3,1
3,1562172900119,03/07/2019 16:55:00,1562172898668,1,03/07/2019 17:54:58,8449,8,task-jgum,,2760072,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2861.9999999646097,/task/29849/3/asset/Owl.mp3,0
4,1562172901696,03/07/2019 16:55:01,1562172900277,1,03/07/2019 17:55:00,8449,8,task-jgum,,2760072,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,1603.9999998174608,/task/29849/3/asset/Goat.mp3,0
1,1562173006009,03/07/2019 16:56:46,1562173005831,1,03/07/2019 17:56:45,8449,8,task-jgum,,2760076,59efd1e377860e0001513786,765965,,complete,,5d1cdddc8923b4000136fa18,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 74.0.3729.169,1440x900,1152x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,66976.64499998791,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562173008758,03/07/2019 16:56:48,1562173008650,1,03/07/2019 17:56:48,8449,8,task-jgum,,2760076,59efd1e377860e0001513786,765965,,complete,,5d1cdddc8923b4000136fa18,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 74.0.3729.169,1440x900,1152x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2798.750000016298,/task/29849/3/asset/Dog.mp3,1
