Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,Question Key,Response
1,1554474374952,05/04/2019 14:26:14,1554474372617,-4,05/04/2019 10:26:12,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1554474464202,05/04/2019 14:27:44,1554474461934,-4,05/04/2019 10:27:41,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1903x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-1,1
3,1554474464377,05/04/2019 14:27:44,1554474461938,-4,05/04/2019 10:27:41,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1903x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-2,1
4,1554474464377,05/04/2019 14:27:44,1554474461938,-4,05/04/2019 10:27:41,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1903x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-3,1
5,1554474464377,05/04/2019 14:27:44,1554474461938,-4,05/04/2019 10:27:41,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1903x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-4,1
6,1554474464377,05/04/2019 14:27:44,1554474461938,-4,05/04/2019 10:27:41,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1903x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-5,1
7,1554474464377,05/04/2019 14:27:44,1554474461939,-4,05/04/2019 10:27:41,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1903x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-6,1
8,1554474464377,05/04/2019 14:27:44,1554474461939,-4,05/04/2019 10:27:41,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1903x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-7,1
9,1554474464377,05/04/2019 14:27:44,1554474461939,-4,05/04/2019 10:27:41,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1903x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-8,1
10,1554474464377,05/04/2019 14:27:44,1554474461939,-4,05/04/2019 10:27:41,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1903x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-9,1
11,1554474464377,05/04/2019 14:27:44,1554474461940,-4,05/04/2019 10:27:41,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1903x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-10,1
12,1554474464377,05/04/2019 14:27:44,1554474461940,-4,05/04/2019 10:27:41,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1903x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-11,1
13,1554474464377,05/04/2019 14:27:44,1554474461940,-4,05/04/2019 10:27:41,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1903x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-12,1
14,1554474464377,05/04/2019 14:27:44,1554474461941,-4,05/04/2019 10:27:41,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1903x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-13,1
15,1554474464377,05/04/2019 14:27:44,1554474461941,-4,05/04/2019 10:27:41,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1903x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-14,1
16,1554474464377,05/04/2019 14:27:44,1554474461942,-4,05/04/2019 10:27:41,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1903x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-15,1
17,1554474464377,05/04/2019 14:27:44,1554474461942,-4,05/04/2019 10:27:41,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1903x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-16,1
18,1554474464377,05/04/2019 14:27:44,1554474461942,-4,05/04/2019 10:27:41,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1903x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-17,1
19,1554474464377,05/04/2019 14:27:44,1554474461944,-4,05/04/2019 10:27:41,6138,39,questionnaire-pwdh,,2417023,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1903x969,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,END QUESTIONNAIRE,89328
1,1554474506549,05/04/2019 14:28:26,1554474506033,1,05/04/2019 15:28:26,6138,39,questionnaire-pwdh,,2417037,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1280x881,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,BEGIN QUESTIONNAIRE,
2,1554474534808,05/04/2019 14:28:54,1554474534330,1,05/04/2019 15:28:54,6138,39,questionnaire-pwdh,,2417037,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1263x881,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-1,1
3,1554474534875,05/04/2019 14:28:54,1554474534331,1,05/04/2019 15:28:54,6138,39,questionnaire-pwdh,,2417037,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1263x881,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-2,1
4,1554474534875,05/04/2019 14:28:54,1554474534331,1,05/04/2019 15:28:54,6138,39,questionnaire-pwdh,,2417037,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1263x881,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-3,1
5,1554474534875,05/04/2019 14:28:54,1554474534331,1,05/04/2019 15:28:54,6138,39,questionnaire-pwdh,,2417037,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1263x881,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-4,1
6,1554474534875,05/04/2019 14:28:54,1554474534331,1,05/04/2019 15:28:54,6138,39,questionnaire-pwdh,,2417037,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1263x881,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-5,1
7,1554474534875,05/04/2019 14:28:54,1554474534331,1,05/04/2019 15:28:54,6138,39,questionnaire-pwdh,,2417037,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1263x881,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-6,1
8,1554474534875,05/04/2019 14:28:54,1554474534331,1,05/04/2019 15:28:54,6138,39,questionnaire-pwdh,,2417037,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1263x881,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-7,1
9,1554474534875,05/04/2019 14:28:54,1554474534331,1,05/04/2019 15:28:54,6138,39,questionnaire-pwdh,,2417037,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1263x881,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-8,1
10,1554474534875,05/04/2019 14:28:54,1554474534331,1,05/04/2019 15:28:54,6138,39,questionnaire-pwdh,,2417037,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1263x881,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-9,1
11,1554474534875,05/04/2019 14:28:54,1554474534332,1,05/04/2019 15:28:54,6138,39,questionnaire-pwdh,,2417037,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1263x881,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-10,1
12,1554474534875,05/04/2019 14:28:54,1554474534332,1,05/04/2019 15:28:54,6138,39,questionnaire-pwdh,,2417037,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1263x881,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-11,1
13,1554474534875,05/04/2019 14:28:54,1554474534332,1,05/04/2019 15:28:54,6138,39,questionnaire-pwdh,,2417037,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1263x881,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-12,1
14,1554474534875,05/04/2019 14:28:54,1554474534332,1,05/04/2019 15:28:54,6138,39,questionnaire-pwdh,,2417037,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1263x881,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-13,1
15,1554474534875,05/04/2019 14:28:54,1554474534332,1,05/04/2019 15:28:54,6138,39,questionnaire-pwdh,,2417037,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1263x881,after questionnairs,Consent,7,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,consent-14,1
