Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,choice made,reaction time
1,1554475543925,05/04/2019 14:45:43,1554475542107,1,05/04/2019 15:45:42,6138,39,task-j8g3,,2417216,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1280x881,after questionnairs,AMI,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Mostly untrue"",""Q2"":""Mostly untrue"",""Q3"":""Neither true nor untrue"",""Q4"":""Mostly untrue"",""Q5"":""Quite true""}",16859.815000090748
2,1554475566301,05/04/2019 14:46:06,1554475565706,1,05/04/2019 15:46:05,6138,39,task-j8g3,,2417216,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1280x881,after questionnairs,AMI,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Mostly untrue"",""Q2"":""Quite true"",""Q3"":""Neither true nor untrue"",""Q4"":""Quite true"",""Q5"":""Quite true"",""Q6"":""Mostly untrue""}",23585.064999992028
3,1554475587533,05/04/2019 14:46:27,1554475586905,1,05/04/2019 15:46:26,6138,39,task-j8g3,,2417216,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1280x881,after questionnairs,AMI,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Completely TRUE"",""Q1"":""Mostly untrue"",""Q2"":""Quite true"",""Q3"":""Quite true"",""Q4"":""Neither true nor untrue"",""Q5"":""Completely TRUE""}",21186.805000063032
1,1554475595775,05/04/2019 14:46:35,1554475593454,-4,05/04/2019 10:46:33,6138,39,task-j8g3,,2417222,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,AMI,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Mostly untrue"",""Q1"":""Quite true"",""Q2"":""Quite true"",""Q3"":""Completely TRUE"",""Q4"":""Quite true"",""Q5"":""Mostly untrue""}",35439.14500000028
2,1554475628506,05/04/2019 14:47:08,1554475626227,-4,05/04/2019 10:47:06,6138,39,task-j8g3,,2417222,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,AMI,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Completely TRUE"",""Q2"":""Completely TRUE"",""Q3"":""Completely TRUE"",""Q4"":""Completely TRUE"",""Q5"":""Completely TRUE"",""Q6"":""Mostly untrue""}",32750.684999999983
3,1554475659245,05/04/2019 14:47:39,1554475656966,-4,05/04/2019 10:47:36,6138,39,task-j8g3,,2417222,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,AMI,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Completely TRUE"",""Q1"":""Quite true"",""Q2"":""Completely TRUE"",""Q3"":""Completely TRUE"",""Q4"":""Quite true"",""Q5"":""Completely TRUE""}",30704.67999999982
1,1554476067309,05/04/2019 14:54:27,1554476069463,-4,05/04/2019 10:54:29,6138,39,task-j8g3,,2417282,5a2164f01a1ad3000138f7f9,668237,,complete,,5ca7671a716aef0017078fac,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x625,after questionnairs,AMI,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Mostly untrue"",""Q2"":""Mostly untrue"",""Q3"":""Quite true"",""Q4"":""Mostly untrue"",""Q5"":""Quite true""}",38814.719999965746
2,1554476099284,05/04/2019 14:54:59,1554476101515,-4,05/04/2019 10:55:01,6138,39,task-j8g3,,2417282,5a2164f01a1ad3000138f7f9,668237,,complete,,5ca7671a716aef0017078fac,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x625,after questionnairs,AMI,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Mostly untrue"",""Q2"":""Quite true"",""Q3"":""Quite true"",""Q4"":""Quite true"",""Q5"":""Quite true"",""Q6"":""Mostly untrue""}",31994.70999999903
3,1554476127566,05/04/2019 14:55:27,1554476129764,-4,05/04/2019 10:55:29,6138,39,task-j8g3,,2417282,5a2164f01a1ad3000138f7f9,668237,,complete,,5ca7671a716aef0017078fac,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x625,after questionnairs,AMI,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Quite true"",""Q2"":""Mostly untrue"",""Q3"":""Quite true"",""Q4"":""Quite true"",""Q5"":""Quite true""}",28204.8000000068
1,1554476087187,05/04/2019 14:54:47,1554476088016,-4,05/04/2019 10:54:48,6138,39,task-j8g3,,2417287,5af6a7cde066a40001134a37,668239,,complete,,5ca7674e64dec700160dae51,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,AMI,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Mostly untrue"",""Q1"":""Completely UNTRUE"",""Q2"":""Completely UNTRUE"",""Q3"":""Mostly untrue"",""Q4"":""Mostly untrue"",""Q5"":""Completely TRUE""}",15064.409999999043
2,1554476108739,05/04/2019 14:55:08,1554476109594,-4,05/04/2019 10:55:09,6138,39,task-j8g3,,2417287,5af6a7cde066a40001134a37,668239,,complete,,5ca7674e64dec700160dae51,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,AMI,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Completely UNTRUE"",""Q2"":""Mostly untrue"",""Q3"":""Completely UNTRUE"",""Q4"":""Mostly untrue"",""Q5"":""Neither true nor untrue"",""Q6"":""Mostly untrue""}",21568.52500000241
3,1554476127644,05/04/2019 14:55:27,1554476128534,-4,05/04/2019 10:55:28,6138,39,task-j8g3,,2417287,5af6a7cde066a40001134a37,668239,,complete,,5ca7674e64dec700160dae51,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,AMI,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Mostly untrue"",""Q2"":""Completely UNTRUE"",""Q3"":""Completely TRUE"",""Q4"":""Quite true"",""Q5"":""Quite true""}",18931.680000001506
1,1554476287390,05/04/2019 14:58:07,1554476266769,1,05/04/2019 15:57:46,6138,39,task-j8g3,,2417298,5c235c04a74d6400016e4179,668249,,complete,,5ca768470aa7300001f4ecb2,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x1009,after questionnairs,AMI,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Mostly untrue"",""Q2"":""Mostly untrue"",""Q3"":""Mostly untrue"",""Q4"":""Mostly untrue"",""Q5"":""Quite true""}",19289.66500000024
2,1554476302677,05/04/2019 14:58:22,1554476302140,1,05/04/2019 15:58:22,6138,39,task-j8g3,,2417298,5c235c04a74d6400016e4179,668249,,complete,,5ca768470aa7300001f4ecb2,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x1009,after questionnairs,AMI,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Quite true"",""Q2"":""Mostly untrue"",""Q3"":""Mostly untrue"",""Q4"":""Mostly untrue"",""Q5"":""Mostly untrue"",""Q6"":""Mostly untrue""}",35349.87000000001
3,1554476330231,05/04/2019 14:58:50,1554476320038,1,05/04/2019 15:58:40,6138,39,task-j8g3,,2417298,5c235c04a74d6400016e4179,668249,,complete,,5ca768470aa7300001f4ecb2,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x1009,after questionnairs,AMI,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Quite true"",""Q2"":""Neither true nor untrue"",""Q3"":""Completely TRUE"",""Q4"":""Completely TRUE"",""Q5"":""Completely TRUE""}",17882.285000000134
1,1554476293734,05/04/2019 14:58:13,1554476282969,1,05/04/2019 15:58:02,6138,39,task-j8g3,,2417299,5978142b21bc3d0001a1d2b6,668245,,complete,,5ca76813253fd60001d258f7,computer,Desktop or Laptop,Chromium OS 11647.104.0,Chrome 73.0.3683.88,1366x768,1366x641,after questionnairs,AMI,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Quite true"",""Q1"":""Mostly untrue"",""Q2"":""Mostly untrue"",""Q3"":""Neither true nor untrue"",""Q4"":""Mostly untrue"",""Q5"":""Quite true""}",32567.209999999934
