Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,choice made,reaction time
1,1554475667561,05/04/2019 14:47:47,1554475666965,1,05/04/2019 15:47:46,6138,39,task-j95b,,2417242,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1280x881,after questionnairs,Fatigue,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Sometimes"",""Q1"":""Rarely"",""Q2"":""Rarely"",""Q3"":""Rarely"",""Q4"":""Rarely""}",10131.444999948144
2,1554475682323,05/04/2019 14:48:02,1554475681787,1,05/04/2019 15:48:01,6138,39,task-j95b,,2417242,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1280x881,after questionnairs,Fatigue,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Rarely"",""Q1"":""Sometimes"",""Q2"":""Sometimes"",""Q3"":""Often"",""Q4"":""Sometimes""}",14811.280000023544
3,1554475692655,05/04/2019 14:48:12,1554475692130,1,05/04/2019 15:48:12,6138,39,task-j95b,,2417242,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1280x881,after questionnairs,Fatigue,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Sometimes"",""Q1"":""Sometimes"",""Q2"":""Rarely"",""Q3"":""Sometimes""}",10333.614999894053
4,1554475702584,05/04/2019 14:48:22,1554475702050,1,05/04/2019 15:48:22,6138,39,task-j95b,,2417242,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1280x881,after questionnairs,Fatigue,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Rarely"",""Q1"":""Rarely"",""Q2"":""Rarely"",""Q3"":""Rarely""}",9910.269999876618
5,1554475710130,05/04/2019 14:48:30,1554475709610,1,05/04/2019 15:48:29,6138,39,task-j95b,,2417242,5afc4671bb36f900018ef1fe,668225,,complete,,5ca7660098b35f0001f7564b,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.75,1280x1024,1280x881,after questionnairs,Fatigue,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Rarely"",""Q1"":""Rarely"",""Q2"":""Sometimes"",""Q3"":""Rarely""}",7550.520000047982
1,1554475743466,05/04/2019 14:49:03,1554475741036,-4,05/04/2019 10:49:01,6138,39,task-j95b,,2417254,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,Fatigue,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Never"",""Q1"":""Never"",""Q2"":""Never"",""Q3"":""Never"",""Q4"":""Rarely""}",16337.82999999994
2,1554475757191,05/04/2019 14:49:17,1554475754901,-4,05/04/2019 10:49:14,6138,39,task-j95b,,2417254,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,Fatigue,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Never"",""Q1"":""Never"",""Q2"":""Never"",""Q3"":""Never"",""Q4"":""Never""}",13833.990000000085
3,1554475768165,05/04/2019 14:49:28,1554475765855,-4,05/04/2019 10:49:25,6138,39,task-j95b,,2417254,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,Fatigue,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Never"",""Q1"":""Never"",""Q2"":""Never"",""Q3"":""Never""}",10927.84499999971
4,1554475786130,05/04/2019 14:49:46,1554475783848,-4,05/04/2019 10:49:43,6138,39,task-j95b,,2417254,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,Fatigue,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Never"",""Q1"":""Never"",""Q2"":""Never"",""Q3"":""Never""}",17969.364999999932
5,1554475803552,05/04/2019 14:50:03,1554475801271,-4,05/04/2019 10:50:01,6138,39,task-j95b,,2417254,5a75c98cae9a0b0001a95926,668220,,complete,,5ca76577b98ee20015d6dc74,computer,Desktop or Laptop,Windows 7,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,Fatigue,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Never"",""Q1"":""Never"",""Q2"":""Never"",""Q3"":""Never""}",17398.340000000193
1,1554476189694,05/04/2019 14:56:29,1554476190502,-4,05/04/2019 10:56:30,6138,39,task-j95b,,2417294,5af6a7cde066a40001134a37,668239,,complete,,5ca7674e64dec700160dae51,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Sometimes"",""Q1"":""Often"",""Q2"":""Often"",""Q3"":""Rarely"",""Q4"":""Rarely""}",10688.58999999793
2,1554476206536,05/04/2019 14:56:46,1554476207415,-4,05/04/2019 10:56:47,6138,39,task-j95b,,2417294,5af6a7cde066a40001134a37,668239,,complete,,5ca7674e64dec700160dae51,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Sometimes"",""Q1"":""Often"",""Q2"":""Almost always"",""Q3"":""Almost always"",""Q4"":""Often""}",16904.99500000442
3,1554476215675,05/04/2019 14:56:55,1554476216557,-4,05/04/2019 10:56:56,6138,39,task-j95b,,2417294,5af6a7cde066a40001134a37,668239,,complete,,5ca7674e64dec700160dae51,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Almost always"",""Q1"":""Almost always"",""Q2"":""Often"",""Q3"":""Almost always""}",9135.465000006661
4,1554476228576,05/04/2019 14:57:08,1554476229425,-4,05/04/2019 10:57:09,6138,39,task-j95b,,2417294,5af6a7cde066a40001134a37,668239,,complete,,5ca7674e64dec700160dae51,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Often"",""Q1"":""Often"",""Q2"":""Sometimes"",""Q3"":""Almost always""}",12861.965000003693
5,1554476235358,05/04/2019 14:57:15,1554476236253,-4,05/04/2019 10:57:16,6138,39,task-j95b,,2417294,5af6a7cde066a40001134a37,668239,,complete,,5ca7674e64dec700160dae51,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x969,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Often"",""Q1"":""Often"",""Q2"":""Almost always"",""Q3"":""Almost always""}",6821.524999999383
1,1554476230017,05/04/2019 14:57:10,1554476232167,-4,05/04/2019 10:57:12,6138,39,task-j95b,,2417296,5a2164f01a1ad3000138f7f9,668237,,complete,,5ca7671a716aef0017078fac,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x625,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Rarely"",""Q1"":""Sometimes"",""Q2"":""Sometimes"",""Q3"":""Rarely"",""Q4"":""Rarely""}",20901.88499999931
2,1554476258615,05/04/2019 14:57:38,1554476260806,-4,05/04/2019 10:57:40,6138,39,task-j95b,,2417296,5a2164f01a1ad3000138f7f9,668237,,complete,,5ca7671a716aef0017078fac,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x625,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Rarely"",""Q1"":""Rarely"",""Q2"":""Sometimes"",""Q3"":""Sometimes"",""Q4"":""Never""}",28594.080000009853
3,1554476293456,05/04/2019 14:58:13,1554476281620,-4,05/04/2019 10:58:01,6138,39,task-j95b,,2417296,5a2164f01a1ad3000138f7f9,668237,,complete,,5ca7671a716aef0017078fac,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x625,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Sometimes"",""Q1"":""Sometimes"",""Q2"":""Sometimes"",""Q3"":""Rarely""}",20775.634999969043
4,1554476301380,05/04/2019 14:58:21,1554476303597,-4,05/04/2019 10:58:23,6138,39,task-j95b,,2417296,5a2164f01a1ad3000138f7f9,668237,,complete,,5ca7671a716aef0017078fac,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x625,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Rarely"",""Q1"":""Sometimes"",""Q2"":""Sometimes"",""Q3"":""Sometimes""}",21925.459999998566
5,1554476325101,05/04/2019 14:58:45,1554476317316,-4,05/04/2019 10:58:37,6138,39,task-j95b,,2417296,5a2164f01a1ad3000138f7f9,668237,,complete,,5ca7671a716aef0017078fac,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x625,after questionnairs,Fatigue,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Sometimes"",""Q1"":""Sometimes"",""Q2"":""Rarely"",""Q3"":""Rarely""}",13680.585000023711
1,1554476389477,05/04/2019 14:59:49,1554476388509,1,05/04/2019 15:59:48,6138,39,task-j95b,,2417312,5c235c04a74d6400016e4179,668249,,complete,,5ca768470aa7300001f4ecb2,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x1009,after questionnairs,Fatigue,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Sometimes"",""Q1"":""Almost always"",""Q2"":""Sometimes"",""Q3"":""Often"",""Q4"":""Rarely""}",11105.86000000012
2,1554476395492,05/04/2019 14:59:55,1554476394939,1,05/04/2019 15:59:54,6138,39,task-j95b,,2417312,5c235c04a74d6400016e4179,668249,,complete,,5ca768470aa7300001f4ecb2,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x1009,after questionnairs,Fatigue,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Sometimes"",""Q1"":""Rarely"",""Q2"":""Sometimes"",""Q3"":""Sometimes"",""Q4"":""Never""}",6415.759999999864
3,1554476404390,05/04/2019 15:00:04,1554476403871,1,05/04/2019 16:00:03,6138,39,task-j95b,,2417312,5c235c04a74d6400016e4179,668249,,complete,,5ca768470aa7300001f4ecb2,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x1009,after questionnairs,Fatigue,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Almost always"",""Q1"":""Rarely"",""Q2"":""Rarely"",""Q3"":""Often""}",8918.11000000007
