Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5,choice made,reaction time,
1,1562774286197,10/07/2019 15:58:06,1562774286174,2,10/07/2019 17:58:06,8835,5,task-uvof,,2795175,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Agree"",""Q3"":""Strongly agree""}",14550.095000071451,
2,1562774299524,10/07/2019 15:58:19,1562774299536,2,10/07/2019 17:58:19,8835,5,task-uvof,,2795175,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Agree"",""Q2"":""Agree"",""Q3"":""Disagree""}",13245.905000017956,
3,1562774312889,10/07/2019 15:58:32,1562774312953,2,10/07/2019 17:58:32,8835,5,task-uvof,,2795175,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Agree"",""Q3"":""Agree""}",13376.859999960288,
4,1562774322644,10/07/2019 15:58:42,1562774322700,2,10/07/2019 17:58:42,8835,5,task-uvof,,2795175,5bf300a7ac0f0d000180a247,773858,,complete,,5d26046ebc6de30001a73aa0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x663,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Agree"",""Q2"":""Agree""}",9713.400000007823,
1,1562776087839,10/07/2019 16:28:07,1562776087742,1,10/07/2019 17:28:07,8835,5,task-uvof,,2795592,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Agree"",""Q3"":""Strongly agree""}",15648.155000002589,
2,1562776103732,10/07/2019 16:28:23,1562776103723,1,10/07/2019 17:28:23,8835,5,task-uvof,,2795592,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Agree"",""Q2"":""Strongly agree"",""Q3"":""Disagree""}",15958.339999982854,
3,1562776117621,10/07/2019 16:28:37,1562776117627,1,10/07/2019 17:28:37,8835,5,task-uvof,,2795592,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Agree"",""Q2"":""Strongly agree"",""Q3"":""Agree""}",13889.445000007981,
4,1562776123844,10/07/2019 16:28:43,1562776123745,1,10/07/2019 17:28:43,8835,5,task-uvof,,2795592,586eb256a763c900011d97d0,773951,,complete,,5d260c1065a5c20017939e8c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x941,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Agree"",""Q2"":""Strongly agree""}",6106.689999985974,
1,1562778667544,10/07/2019 17:11:07,1562778668203,1,10/07/2019 18:11:08,8835,5,task-uvof,,2796425,54762f9efdf99b05557e04be,774153,,complete,,5d2616a3c4d71e00190d081c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Strongly agree"",""Q1"":""Agree"",""Q2"":""Strongly agree"",""Q3"":""Strongly agree""}",10752.794999978505,
2,1562778675853,10/07/2019 17:11:15,1562778676550,1,10/07/2019 18:11:16,8835,5,task-uvof,,2796425,54762f9efdf99b05557e04be,774153,,complete,,5d2616a3c4d71e00190d081c,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,"{""Q0"":""Agree"",""Q1"":""Strongly agree"",""Q2"":""Agree"",""Q3"":""Disagree""}",8324.329999973997,
