Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,choice made,reaction time,
1,1562173860353,03/07/2019 17:11:00,1562173860741,1,03/07/2019 18:11:00,8449,8,task-uvof,,2760155,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Strongly agree"",""Q3"":""Strongly agree""}",43547.595000010915,
2,1562173871089,03/07/2019 17:11:11,1562173871528,1,03/07/2019 18:11:11,8449,8,task-uvof,,2760155,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Strongly agree"",""Q3"":""Disagree""}",10739.529999991646,
3,1562173887734,03/07/2019 17:11:27,1562173888102,1,03/07/2019 18:11:28,8449,8,task-uvof,,2760155,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Strongly agree"",""Q1"":""Agree"",""Q2"":""Strongly agree"",""Q3"":""Strongly agree""}",16543.3099999791,
4,1562173899179,03/07/2019 17:11:39,1562173899621,1,03/07/2019 18:11:39,8449,8,task-uvof,,2760155,5ce2642000d670001684edfc,765957,,complete,,5d1cdad59aae2900017c4f20,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1368x912,1368x802,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Strongly agree""}",11473.029999993742,
1,1562174204849,03/07/2019 17:16:44,1562174203272,1,03/07/2019 18:16:43,8449,8,task-uvof,,2760208,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Disagree"",""Q1"":""Disagree"",""Q2"":""Disagree"",""Q3"":""Disagree""}",8460.99999989383,
2,1562174211147,03/07/2019 17:16:51,1562174209725,1,03/07/2019 18:16:49,8449,8,task-uvof,,2760208,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Disagree"",""Q1"":""Disagree"",""Q2"":""Disagree"",""Q3"":""Disagree""}",6422.000000020489,
3,1562174217062,03/07/2019 17:16:57,1562174215655,1,03/07/2019 18:16:55,8449,8,task-uvof,,2760208,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Disagree"",""Q1"":""Disagree"",""Q2"":""Disagree"",""Q3"":""Disagree""}",5916.999999899417,
4,1562174223217,03/07/2019 17:17:03,1562174221804,1,03/07/2019 18:17:01,8449,8,task-uvof,,2760208,5acc84ec0527ba0001c27250,765963,,complete,,5d1cdd0974d60d00012815ce,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x635,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Disagree"",""Q1"":""Disagree"",""Q2"":""Disagree""}",6140.999999828637,
1,1562174475084,03/07/2019 17:21:15,1562174474982,1,03/07/2019 18:21:14,8449,8,task-uvof,,2760249,59efd1e377860e0001513786,765965,,complete,,5d1cdddc8923b4000136fa18,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 74.0.3729.169,1440x900,1152x657,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Agree"",""Q1"":""Strongly agree"",""Q2"":""Agree"",""Q3"":""Strongly agree""}",11389.455000055023,
2,1562174484323,03/07/2019 17:21:24,1562174484263,1,03/07/2019 18:21:24,8449,8,task-uvof,,2760249,59efd1e377860e0001513786,765965,,complete,,5d1cdddc8923b4000136fa18,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 74.0.3729.169,1440x900,1152x657,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Agree"",""Q3"":""Disagree""}",9262.43499998236,
